corridor_id,hour_of_day,ambient_light,street_light_func,crime_risk_index,foot_traffic,risk_code
Ayat,21,0.1607598960483082,0.47128716739816456,0.5617607734743901,60.71352808835769,1
Piazza,16,0.8179670241190622,0.9791049380151545,4.910957293831651,38.87263478765467,0
Merkato,8,0.8321341779577419,0.6341421382957368,9.271106288584273,24.029912345036674,1
Ayat,0,0.5074677337608362,0.12626474156450274,1.0539321810780522,9.49652752283765,2
Kazanchis,20,0.00638587171683358,0.676177562075434,7.644407280755043,31.491844458889574,2
Gotera,19,0.2870381331749128,0.325104015431699,4.096710533759927,9.664483428775227,2
Merkato,12,0.6169269183757422,0.6863271966860974,6.55173714524338,17.689695082398394,1
Merkato,15,0.9811861780274235,0.06964114816240574,2.6023659798522933,98.73361585795459,0
Ayat,12,0.6318135270166684,0.1748814371759594,1.5949226254135829,44.41035569066186,1
Bole,13,0.2598035810641598,0.8557372589057863,1.6046261427122643,53.187176650501655,0
Kazanchis,2,0.6340057030996114,0.2271795570235149,0.7049194564314465,87.36185287372153,1
Ayat,5,0.5399853797158555,0.83704112524294,1.8564670490124302,99.55689004906878,0
Kazanchis,17,0.7798453951511436,0.27927608845441043,6.642193849889683,58.27144493446815,1
Kazanchis,18,0.10698063882695841,0.6428819100587077,8.81690611843508,81.24738210441717,1
Gotera,4,0.761027902502028,0.694150573509831,8.141256855911617,32.694102433667524,2
Merkato,14,0.5412665786761103,0.5126547531450529,6.851343098744841,30.57439574472911,1
Piazza,1,0.9629920038589946,0.3053106766967313,1.1043186341110267,40.27037209945602,1
Gotera,9,0.3418721660386861,0.21264437637109612,2.8918744629594983,67.25072626736491,1
Gotera,23,0.6326218931339481,0.03318935456242622,3.0980687532246898,68.21916892550988,2
Kazanchis,17,0.9320281055100175,0.3039464012407238,2.4995694639762123,31.52394346494508,1
Sarbet,12,0.10250972799067926,0.653162790531283,5.150056597097231,13.320992413662868,2
Merkato,4,0.9372284872364511,0.9383048184484827,5.355538148796725,63.239625646550856,1
Bole,22,0.6878857223008134,0.871204482263052,3.568859751711102,12.832586218876452,2
Gotera,23,0.0678370591051719,0.7660647765353026,3.53789158736436,57.84925082293301,2
Piazza,0,0.30096356694681625,0.7884473432532987,8.285555979060813,69.3422128056309,2
Sarbet,21,0.7081720886452816,0.6649849034759953,7.892928483196856,70.06114963944516,1
Sarbet,0,0.0673506014687717,0.260286857566003,3.0779583168074565,75.34721106595967,2
Bole,17,0.5821704601762733,0.9071950307058299,9.137884438732593,87.28594215656645,1
Gotera,14,0.34588305695295674,0.670732311905834,9.52815017002506,49.995899196478845,1
Piazza,16,0.6209155177674771,0.56044063098044,3.267425420300408,73.02491895295712,0
Merkato,10,0.04574203381251285,0.11098946921348107,3.5442494879305486,61.91727353658367,1
Megenagna,20,0.8715368061523763,0.4470555438064254,5.056341534219588,18.663993979768257,1
Piazza,21,0.9734889691773969,0.4603582712019263,9.411208125336735,2.568964486940817,2
Bole,16,0.9688778552856915,0.86456360952267,8.763194331423115,28.454138567693377,1
Sarbet,12,0.7496518317429247,0.5466482201877885,1.025679625835898,44.30337063376194,0
Merkato,0,0.13008624013063197,0.38040054897040965,3.927307432714162,61.71059444286563,2
Piazza,1,0.7582631959290226,0.9768003285106593,5.533711897497718,84.99593305032053,1
Megenagna,8,0.02458691645880151,0.11072059332631567,5.0313247255154,19.624571670616564,2
Megenagna,2,0.022123551528997254,0.4225484283119446,1.9386306793689267,12.55497898984771,2
Kazanchis,0,0.32361021914954125,0.04202467517140529,8.588167711681546,96.34799474743275,2
Kazanchis,20,0.48864319040466575,0.7399041207669304,6.769407829968373,10.80445593764071,1
Ayat,15,0.7704074178077932,0.9180765521991506,8.379083748518037,47.84910701071892,1
Bole,22,0.6832953766065052,0.28003732955048943,8.587642793494721,58.55637287933019,2
Gotera,5,0.44590270637674834,0.8583416767991209,7.483558536657398,54.137442090743825,1
Piazza,16,0.2736266662816659,0.29221823046189777,4.392106012497173,8.603215703294321,2
Piazza,4,0.9971245001577111,0.9107701616439152,6.105467550154246,5.702691400361937,2
Gotera,4,0.42618130223597295,0.7539619035967839,1.6036540611974315,10.548342746103568,2
Ayat,5,0.4513870243296755,0.8049067768414386,6.736454174749077,58.55876838726125,1
Sarbet,2,0.16362382119166918,0.0180065556004545,1.7925325573928075,54.43448876343211,2
Sarbet,20,0.7948095487499294,0.962810357074026,6.939495905101568,23.374079203674427,1
Ayat,22,0.6936822257814886,0.7266709920703233,2.2959816075396864,63.777414184559156,1
Sarbet,4,0.2207696127887604,0.3047510953861333,1.1755130015021997,82.00675020556494,1
Kazanchis,20,0.0823810456158427,0.8293946648588469,1.6528449014295743,4.157895984659376,1
Piazza,4,0.6804993020747131,0.28152119841492995,0.01992135219070268,49.81299435480424,1
Ayat,9,0.6545112142811352,0.872753839566128,7.187396178535303,68.93104121026903,1
Piazza,9,0.2732595269982093,0.11258039041193701,7.324010490583791,25.23119270696871,2
Gotera,18,0.9508635622504104,0.7036859774607958,5.149333499132594,30.77709052931491,1
Megenagna,16,0.15105789178090023,0.5406984766449103,1.613628010553837,61.36379029893838,1
Kazanchis,20,0.4323348010426019,0.09653447019544081,0.8355433751068975,89.7935293443737,0
Merkato,13,0.9436159201675989,0.24189382825883898,0.1912896643728701,80.99244203028994,0
Kazanchis,8,0.4197273169261223,0.01240403627731479,1.657481769652207,58.31302190995835,1
Ayat,13,0.6385259476640855,0.46876796546450583,8.908555349831467,73.02217177572491,1
Merkato,0,0.3975943979627943,0.3012652607600004,2.4153684170168175,36.482247020779866,2
Megenagna,18,0.27421520234867003,0.5983574842977588,3.542713272172157,64.09655280987577,1
Ayat,12,0.9839776479598282,0.2972378077086172,1.0534548448133318,46.6181591127557,0
Bole,12,0.409334006315043,0.2999191115069847,2.223613047481703,18.993613645756092,1
Piazza,3,0.8940992036791344,0.7431931987316034,5.192245707802051,70.17382738772572,1
Megenagna,0,0.22995460589108618,0.04814283597835345,6.077526830956526,55.646463734882204,2
Piazza,16,0.2131047040250833,0.9028949951919872,2.4535231416621106,35.86215819535914,1
Sarbet,7,0.03113408288451136,0.8522638743911815,0.5773215922511721,91.13391900786307,0
Bole,1,0.651666825375885,0.6678046832264065,3.9103286912739863,2.0934117826733267,2
Bole,7,0.36852634372376114,0.5932215701073843,2.342033709263341,31.5773151249496,1
Megenagna,6,0.864358249839637,0.8923024981396522,2.195539232298019,5.688139777764656,0
Bole,1,0.47320990669155716,0.18533017952871444,9.598628027134552,76.65273162216272,2
Merkato,21,0.9681934279147217,0.07896916219082861,6.16300485925724,70.21074541137926,1
Bole,21,0.18552551570312115,0.2395101699095381,5.5687844317209585,33.13522187363171,2
Piazza,2,0.8686231679556108,0.7945782787001903,4.157751035233219,67.5662902207073,1
Piazza,17,0.7765968527917417,0.03467026672648332,4.289443334301443,39.593722619594985,1
Ayat,11,0.770921844644052,0.5828068350834896,5.4090500383808084,75.62537914224343,0
Piazza,0,0.8447832281168877,0.9954375161913099,6.964298070361073,45.41836627367061,1
Ayat,21,0.7610239909429989,0.8556960938375394,7.021460961818295,41.22797278316656,1
Piazza,11,0.6262203216314154,0.5214456890435895,1.7169390770544957,93.4729915488301,0
Merkato,4,0.13124487768238757,0.06364090928664234,5.0011275207662695,25.087909989070024,2
Gotera,16,0.032526179491251916,0.8313735143857098,4.119580950341019,12.044733999656543,1
Ayat,15,0.9208478478156868,0.5989785081772105,8.705269662693842,58.45431132594582,1
Kazanchis,14,0.616650314520738,0.11493299705956683,6.314189212183764,96.93218122841789,1
Sarbet,22,0.7965372909761763,0.0938572848233562,5.325040664159818,37.783921372718666,2
Megenagna,14,0.4815223515125501,0.9096268194365924,1.1539464217891737,6.203676362878152,1
Piazza,4,0.11730818896239448,0.6692002629380784,6.056378893234115,33.93052673095674,2
Bole,20,0.12518579220255044,0.8292867993167555,1.1720390568023342,50.593165431955846,0
Gotera,13,0.6855652872289714,0.8789789002822673,3.3720657556575206,16.19230066322137,1
Piazza,1,0.4303058948994627,0.5717723520483222,1.4284196481433187,65.8102218056492,1
Bole,10,0.20052472670033672,0.5174463517550413,6.920736470243689,99.77493890102006,1
Sarbet,18,0.4915945467414369,0.4304274103209902,2.062521138361526,45.17394759814438,1
Sarbet,6,0.06420893707513409,0.3169465877911193,3.91859373188026,35.472855673021265,1
Sarbet,5,0.5819714019143988,0.43459596085871177,8.956747776187786,40.070416683446666,1
Bole,1,0.26899340443509767,0.7738796557301564,2.043163833989703,11.514617839520113,2
Piazza,5,0.7975591006371882,0.6019234310151316,5.078050639587791,88.32736014262238,0
Sarbet,17,0.31036195892357377,0.8925232899548461,4.19271661166022,41.4825655521352,1
Merkato,1,0.4552201490818012,0.4433800143791877,0.18124041045729733,38.72744114248413,1
Ayat,17,0.011620539908100636,0.607089578718754,7.927581135728127,65.96902729304743,1
Bole,14,0.07244688779455888,0.6313075530919887,0.6904590631459973,44.203342093112354,1
Bole,18,0.3924935564066848,0.5916971623063255,4.7425502097695365,64.8233468807846,1
Piazza,1,0.4799388347171235,0.7026337730855163,5.606782949389499,6.144629013078751,2
Bole,19,0.6000205481193037,0.23743346837480628,6.284264566145871,81.37233437222274,1
Bole,5,0.29166257870930323,0.5123637775457907,6.886316293078756,94.05039528794026,1
Sarbet,0,0.6949818861265425,0.10422480280834767,2.532723835227151,64.8765386159386,1
Piazza,23,0.8601223971892046,0.38451132764481255,0.09978776658449373,95.45659288588108,0
